Radius,Central_x,Central_y,width,height,Site,lefttop_x,lefttop_y,rightbottom_x,rightbottom_y,MIC_name
32,565,1061,65,67,Disk,533,1028,598,1095,CF30
33,283,986,67,66,Disk,251,954,318,1020,CT10
54,285,987,109,110,MIC,231,933,340,1043,CT10
133,561,1061,267,259,MIC,429,930,696,1189,CF30
59,285,987,119,120,MIC,226,928,345,1048,CT10
138,561,1061,277,269,MIC,424,925,701,1194,CF30
34,501,710,68,67,Disk,468,677,536,744,ER5
173,495,717,347,340,MIC,327,546,674,886,ER5
178,495,716,357,350,MIC,322,541,679,891,ER5
434,497,868,869,867,O,64,435,933,1302,-
439,497,868,879,877,O,59,430,938,1307,-
